"Geography","IsActiveMember","Gender","HasCrCard","Churn_Rate"
Germany,0,Female,0,44.83
Germany,0,Female,1,44.57
Germany,0,Male,1,37.77
Germany,0,Male,0,36.69
Germany,1,Female,0,30.11
Spain,0,Female,0,29.53
Germany,1,Female,1,29.24
Spain,0,Female,1,29.18
France,0,Female,1,27.08
France,0,Female,0,24.17
Germany,1,Male,0,22.11
Spain,0,Male,0,18.72
Spain,0,Male,1,18.35
Germany,1,Male,1,17.76
Spain,1,Female,0,17.75
France,0,Male,1,17.49
France,1,Female,0,16.76
France,0,Male,0,15.47
France,1,Female,1,13.95
Spain,1,Female,1,11.93
France,1,Male,0,10.65
Spain,1,Male,0,9.79
France,1,Male,1,8.07
Spain,1,Male,1,7.98
